出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管佔比
"1141104","113","4979","華星光","737","604","590","491","50.00%"
"1141104","113","4987","科誠","776","646","603","496","50.00%"
"1141104","113","4991","環宇-KY","N/A","N/A","N/A","N/A","25.00%"
"1141104","113","4995","晶達","1011","862","834","757","25.00%"
"1141104","113","5009","榮剛","1214","1036","968","953","8.54%"
"1141104","113","5011","久陽","741","613","608","564","70.00%"
"1141104","113","5013","強新","830","684","697","672","11.67%"
"1141104","113","5014","建錩","884","740","694","589","10.15%"
"1141104","113","5015","華祺","823","708","644","527","45.00%"
"1141104","113","5016","松和","835","695","718","677","32.90%"
"1141104","113","5201","凱衛","956","787","822","770","30.77%"
"1141104","113","5202","力新","1336","1114","824","718","50.00%"
"1141104","113","5205","中茂","873","731","518","520","6.67%"
"1141104","113","5206","坤悅","1515","1295","1027","886","33.33%"
"1141104","113","5209","新鼎","1456","1245","1195","1121","11.11%"
"1141104","113","5210","寶碩","1071","910","732","666","10.00%"
"1141104","113","5211","蒙恬","1472","1252","901","833","1.96%"
"1141104","113","5212","凌網","993","809","1025","901","24.62%"
"1141104","113","5213","亞昕","1438","1171","1037","1023","14.29%"
"1141104","113","5220","萬達光電","684","563","505","447","18.18%"
"1141104","113","5223","安力-KY","N/A","N/A","N/A","N/A","35.90%"
"1141104","113","5227","立凱-KY","N/A","N/A","N/A","N/A","2.38%"
"1141104","113","5228","鈺鎧","646","538","524","458","22.58%"
"1141104","113","5230","雷笛克光學","1020","846","862","697","35.00%"
"1141104","113","5236","凌陽創新","2680","2404","2361","1991","19.20%"
"1141104","113","5245","智晶","817","680","649","582","52.00%"
"1141104","113","5251","天鉞電","1150","1036","735","699","12.50%"
"1141104","113","5263","智崴","1122","936","911","822","33.33%"
"1141104","113","5272","笙科","1652","1431","1283","1150","23.52%"
"1141104","113","5274","信驊","5942","5459","4715","4004","14.00%"
"1141104","113","5276","達輝-KY","N/A","N/A","N/A","N/A","26.67%"
"1141104","113","5278","尚凡*","1841","1619","1187","1028","39.00%"
"1141104","113","5287","數字","1791","1591","871","794","58.33%"
"1141104","113","5289","宜鼎","1309","1129","1018","793","22.22%"
"1141104","113","5291","邑昇","764","630","561","504","26.00%"
"1141104","113","5299","杰力","1932","1711","1546","1368","38.89%"
"1141104","113","5301","寶得利","879","754","598","538","25.00%"
"1141104","113","5302","太欣","1471","1293","924","931","0.00%"
"1141104","113","5309","系統電","1140","965","930","731","20.90%"
"1141104","113","5310","天剛","943","764","666","620","33.00%"
"1141104","113","5312","寶島科","999","854","875","721","27.07%"
"1141104","113","5314","世紀","806","671","440","344","30.00%"
"1141104","113","5315","光聯","643","519","525","441","12.04%"
"1141104","113","5321","美而快","1415","1221","618","553","33.33%"
"1141104","113","5324","士開","1882","1609","1318","1282","22.73%"
"1141104","113","5328","華容","1303","1139","873","853","46.67%"
"1141104","113","5340","建榮","842","718","702","628","23.08%"
"1141104","113","5344","立衛","733","564","625","532","5.20%"
"1141104","113","5345","天揚","1165","982","956","826","0.00%"
"1141104","113","5347","世界","1798","1396","1572","1195","19.50%"
"1141104","113","5348","正能量智能","864","716","716","642","50.00%"
"1141104","113","5351","鈺創","1648","1365","1298","897","30.00%"
"1141104","113","5353","台林","1042","901","778","657","26.00%"
"1141104","113","5355","佳總","633","523","481","455","5.70%"
"1141104","113","5356","協益","783","655","578","489","28.57%"
"1141104","113","5364","力麗店","724","599","561","499","66.67%"
"1141104","113","5371","中光電","1414","1192","1207","1146","24.06%"
"1141104","113","5381","合正","788","730","818","715","31.00%"
"1141104","113","5386","青雲","1892","1587","954","808","35.71%"
"1141104","113","5392","能率","1846","1626","837","874","17.65%"
"1141104","113","5398","慕康生醫","894","766","667","658","14.29%"
"1141104","113","5403","中菲","1840","1655","1468","1187","8.99%"
"1141104","113","5410","國眾","963","806","743","690","13.04%"
"1141104","113","5425","台半","1055","902","794","628","6.80%"
"1141104","113","5426","振發","830","686","591","546","16.00%"
"1141104","113","5432","新門","805","622","582","540","0.00%"
"1141104","113","5438","東友","1459","1239","1054","1035","31.48%"
"1141104","113","5439","高技","912","771","705","642","26.60%"
"1141104","113","5443","均豪","1290","1105","974","917","3.87%"
"1141104","113","5450","南良","833","733","686","599","18.12%"
"1141104","113","5452","佶優","1709","1508","1168","939","35.29%"
"1141104","113","5455","昇益","1369","1204","1213","887","75.00%"
"1141104","113","5457","宣德","1002","794","774","588","21.95%"
"1141104","113","5460","同協","943","832","699","591","52.17%"
"1141104","113","5464","霖宏","551","436","445","422","33.87%"
"1141104","113","5465","富驊","1686","1489","1022","953","55.00%"
"1141104","113","5468","凱鈺","1255","1080","954","811","100.00%"
"1141104","113","5474","聰泰","1773","1528","1400","1183","0.33%"
"1141104","113","5475","德宏","1040","926","576","494","27.00%"
"1141104","113","5478","智冠","1269","1131","1009","870","1.09%"
"1141104","113","5481","新華","1312","1107","681","617","15.00%"
"1141104","113","5483","中美晶","1416","1240","1080","996","29.11%"
"1141104","113","5487","通泰","1215","1026","985","944","6.80%"
"1141104","113","5488","松普","698","590","556","548","11.80%"
"1141104","113","5489","彩富","1128","990","952","691","23.68%"
"1141104","113","5490","同亨","1222","1054","1023","967","30.23%"
"1141104","113","5493","三聯","1339","1147","1183","1136","35.00%"
"1141104","113","5498","凱崴","875","703","586","554","22.73%"
"1141104","113","5508","永信建","2131","1572","1383","1308","62.50%"
"1141104","113","5511","德昌","1058","840","1049","969","5.59%"
"1141104","113","5512","力麒","1439","1235","946","903","22.00%"
"1141104","113","5514","三豐","1479","1310","1042","994","21.43%"
"1141104","113","5516","雙喜","790","661","661","505","0.36%"
"1141104","113","5520","力泰","1749","1606","1651","1536","26.00%"
"1141104","113","5523","豐謙","1144","953","690","597","67.00%"
"1141104","113","5529","鉅陞","1417","1209","798","623","55.56%"
"1141104","113","5530","龍巖","1157","993","905","738","50.00%"
"1141104","113","5536","聖暉*","2052","1848","1403","1149","23.00%"
"1141104","113","5543","桓鼎-KY","N/A","N/A","N/A","N/A","2.00%"
"1141104","113","5548","安倉","934","794","807","683","15.00%"
"1141104","113","5601","台聯櫃","1108","985","895","854","50.00%"
"1141104","113","5603","陸海","1022","868","812","755","5.28%"
"1141104","113","5604","中連","1087","915","705","716","25.00%"
"1141104","113","5609","中菲行","1919","1688","1371","963","53.57%"
"1141104","113","5701","劍湖山","608","480","457","401","39.02%"
"1141104","113","5703","亞都麗緻","591","502","538","528","40.48%"
"1141104","113","5704","老爺知","721","597","551","489","42.86%"
"1141104","113","5864","致和證","999","834","621","540","9.70%"
"1141104","113","5878","台名","960","799","630","565","6.90%"
"1141104","113","5902","德記","1114","948","876","762","46.00%"
"1141104","113","5903","全家","562","483","811","730","45.62%"
"1141104","113","5904","寶雅","596","486","634","574","77.73%"
"1141104","113","5905","南仁湖","559","467","418","400","67.53%"
"1141104","113","6015","宏遠證","1447","1255","1094","911","54.93%"
"1141104","113","6016","康和證","1852","1639","1298","975","35.00%"
"1141104","113","6020","大展證","1084","920","749","691","29.41%"
"1141104","113","6021","美好證","1707","1502","1079","918","45.40%"
"1141104","113","6023","元大期貨","2250","2020","1591","1379","44.78%"
"1141104","113","6026","福邦證","1375","1214","1230","1006","17.00%"
"1141104","113","6101","寬魚國際","1665","1464","799","657","33.33%"
"1141104","113","6103","合邦","994","831","567","589","33.33%"
"1141104","113","6104","創惟","2474","2205","2105","1829","16.00%"
"1141104","113","6109","亞元","1105","937","788","680","34.38%"
"1141104","113","6111","大宇資","1362","1180","776","680","35.90%"
"1141104","113","6113","亞矽","1290","1091","926","906","53.85%"
"1141104","113","6114","久威","1017","832","747","684","33.30%"
"1141104","113","6118","建達","843","699","637","580","33.33%"
"1141104","113","6121","新普","1536","1266","1345","1183","30.00%"
"1141104","113","6122","擎邦","1335","1145","1125","1006","16.00%"
"1141104","113","6123","上奇","1229","1051","741","695","40.00%"
"1141104","113","6124","業強","962","788","695","592","4.16%"
"1141104","113","6125","廣運","1220","1047","925","786","11.54%"
"1141104","113","6126","信音","1035","893","808","738","36.00%"
"1141104","113","6127","九豪","801","652","585","570","23.08%"
"1141104","113","6129","普誠","1150","971","992","895","33.33%"
"1141104","113","6130","上亞科技","1039","757","737","569","20.00%"
"1141104","113","6134","萬旭","902","765","706","661","20.00%"
"1141104","113","6138","茂達","2232","1674","1623","1443","19.10%"
"1141104","113","6140","訊達電腦","1004","838","668","547","1.48%"
"1141104","113","6143","振曜","926","773","717","614","9.30%"
